category,text
tech,robot learn robotiquett rul robot learn lesson robotiquett behav socialli mix better human play gam lik pass parce univer hertfordshir team find futur robot companion react socia situat studi finding eventua help human develop cod socia behaviour human robot interac work part european cogniron robotic project show london scienc museum assum situat use human companion robot alreadi exist said professor kerstin dautenhahn project leader hertfordshir mission look robot program respect persona spac human research also focus human perception robot includ look robot learn new skill imitat human demonstrat without studi build robot might respect fact human individu preferenc com different cultura background professor dautenhahn told bbc new onlin want robot treat human human being lik robot ad situat companion robot eventua deal one person also group peopl find would react hertfordshir cogniron team taught one robot play pass parce child show skill scienc museum unnam robot select approach ask different child pick parce gift mov arm pointer camera eye even us speech giv instruction play music however accord researcher still tak mani year build robot would mak full use robotiquett human interac think robot companion human think year futur conclud professor dautenhahn might tak even long hard develop robot hear stori bbc world servic go digita programm
sport,heart oak cotonsport heart oak set ghanaian confeder cup fina win cameroon cotonsport garoua accra sunday win heart mean play asant kotoko two leg fina kumasi team qualifi group saturday group b gam cameroon beat south africa douala neither sid could qualifi fina heart oak start gam need win qualifi fina cotonsport need avoid defeat go loui agyemang scor first two goal heart either sid half tim ben bortey scor third heart look set comfortab win cotonsport stag lat fight back scor twic lat first boukar makaji scor th minut minut injuri tim end gam andre nzam iii target littl lat cameroonian heart held win gam plac fina first leg fina play accra weekend november second leg two week later december kumasi group b gam cameroon sabl bati take lead th minut kemadjou santo equali hour mark thank thokozani xaba bernard ngom put sabl ahead fiv minut later ern nfor settl gam minut ruben cloet scor south african sid consolat three minut left clock
sport,isinbayeva head birmingham olympic pol vault champion yelena isinbayeva confirm tak part norwich union grand prix birmingham februari everybodi know much enjoy compet britain alway seem break record said isinbayeva olympic champion attention year hopefulli respond another record birmingham kelli holm carolina kluft among athen winner compet organi hop isinbayeva main riva fellow russian svetlana feofanova also tak part event pair thrill battl athen end isinbayeva finalli jump world record m claim gold meda isinbayeva set world record pol vault three com british soil
tech,playstat chip unvei detai chip design power soni playstat conso relea san francisco monday soni ibm toshiba work cell processor three year unvei chip technologus conferenc chip report tim fast current processor design use graphic workstat new playstat conso describ supercomput chip soni said cell processor could us bridg gap movi video gam specia effect graphic design film could port use directli video gam soni told audienc e exhibi lo ange last year cell could also market idea technologus televi supercomput everyth said kevin krewel editor chief microprocessor report chip mad severa different process cor work task together playstat expect develop expect get prototyp earli next year tun gam appear launch detai chip relea internat solid stat circuit conferenc san francisco detai alreadi emerg however put insid power computer server cell consortium expect capab handl trillion float point operat calculat everi second chip also refin able handl detai graphic common gam data demand film broadband media ibm said would start produc chip earli manufactur plant us first machin lin us cell processor computer workstat server work version p due show may full launch next generat conso expect start futur form digita content converg fus onto broadband network said ken kutaragus chief operat officer soni said last year current pc architectur near limit ad
tech,napster offer rent music go music download reject free peer peer servic costli busi cost pay even littl p per track add particularli peopl one new generat player stor thousand song pay per track music becom outmod pay per minut internet access altern monthli yearli subscription mode spring convenient ultimat cheap way own music music fan mov away buy tradition bundl packag dozen song us call album new way fit lifesty either singl track subscription servic said paul myer chief execut wippit uk ba music download servic itun good busi sal individu track ipod owner other question whether concept own music even valid digita age napster due launch new renta subscription servic dub napster go uk next month servic us player support microsoft window late digita right manag technologus know janu includ player mad samsing rio creativ currentli offer beta version us servic cost per month unlimit download technologus ensur music download player remain playab user subscrib servic user need updat licen monthli basi tun long play outrag digita music lover especia napster alreadi offer cheap servic download music pc napster claim high pric result record labe charg go servic say also offer great valu customer mr myer convinc renta mode work consumer ve offer unlimit music subscription servic three year customer know want format interoper excellent valu reassuranc music purcha wippit keep enjoy whatever devic choo said want download track win play next month decid unsubscrib servic chang portab player ipod late mobi phon wippit offer download subscription servic per month per year catalogu around song
sport,reaction spanish press england defeat spain wednesday dominat back front pag countri press thursday controversi short suppli racist abus england black player wayn rooney petulanc england inept performanc spanish press mak affair bbc sport look reaction littl coverag racist chant wednesday night gam cover english reaction pre match comment spain coach lui aragon highlight britain colonia past prob remark regard thierri henri october journalist guillem balagu writ countri multo cultura new thing nappi deal thing naiveti mak english nervou marca refer pass bo england black player refer cheer ole greet long period spanish possession aragon comment question racism match also highlight marca focus spanish coach prais player serbia montenegro world cup qualifi win belgium could mak qualific tough spain seem great importanc elsewher spanish media criticis english counterpart stok racism issue racist chant player hasn happen spanish leagu spain mani year said spanish federat press officer fernando garrido english reporter ask don contribut spanish daili abc accus english reporter launch witch hunt aragon perhap team play poorli want divert attention toward muddl issue paper say boy bernabeu odd rooney seem intent kick spanish player approach yet rooney see worst examp mani england miscreant gari nevil criticis continu feud manchester unit arsena tackl jo reye ashley col treatment joaquin frank lampard foul reye also lambast ugli marca headlin say wayn rooney se volvi loco en el bernabu wayn rooney becam crazi bernabeu rooney display alarm writer particular three chill foul joaquin casilla marchena could well left infirmari lik marca criticis gari nevil leav messag reye ankle remind manchester unit arsena clash month spain first half performanc shower prais xavi singl big star xavi thing wednesday worthi maradona paper beam ad work rat dynamism vision leadership midfield player controversi even offer one seemingli undeniab viewpoint spanish footbal player play better footbal english plaudit give hom team jaim varga laud manner spain dominat england order qualiti paper add bad thing spain v england last minut succession chang prevent real competi varga mention england two galactico simpli ad p forget speak beckham owen forget play
entertainment,ray dv beat box offic take oscar nominat film biopic ray surpass us box offic take combin talli m m dv video sal renta ray success dv outstrip m m us box offic tota earn m m first day dv relea alon ray nominat six oscar categori includ best film best actor jami foxx film recount lif blue singer ray charl di first week hom entertain relea film number one sell dv limit edition version com number soni horror film grudg star michel gellar us second best sell dv jennifer lopez richard ger romantic comedi shall danc number three foxx critic acclaim performanc ray alreadi earn screen actor guild award best actor well prestigiou golden glob ray director taylor hackford responsib classic film officer gentleman also receiv oscar nominat best director categori film three oscar nominat costum film edit sound mix
entertainment,tripl triumph littl britain top tv cult hit littl britain triumph offic th annuum british comedi award bbc show beat offic christma specia best tv comedi categori take peopl choic award matt luca david walliam also jointli win best tv comedi actor offic creator ricki gervai win specia award writ also good night ant dec clinch two award includ best comedi entertain persona geordi duo also secur best comedi entertain programm saturday night takeaway beat m celebriti get also host bbc got new ceremoni present jonathan ross itv london studio headquarter capita south bank littl britain begin lif radio seri radio walliam luca play ring misfit character altern britain later commission bbc three prov hug success second seri also show bbc one receiv award best tv comedi actor walliam luca said great honour nominat alongsid ricki gervai martin clun show also win peopl choic award gong night vot viewer speak receiv award best comedi walliam said real shock think deserv beat offic great show comedi beauti piec work gervai offic co writer stephen merchant receiv specia award writ present noel gallagh tom stoppard gervai said show win awfu lot award last coupl year much got embarrass honest winner award includ carolin quentin take hom best tv comedi actress lif begin von trap catherin tat catherin tat show also nominat award walk away best comedi newcomer jam mcavoy shameless channe julian barratt noel field mighti boosh bbc three nighti night nam britain best new tv comedi itv show doc martin lif begin doc martin win best tv comedi drama jonathan creek bbc one shameless winner best internat comedi categori simpson beat sex citi curb enthusiasm priz accept matt groen creator simpson also receiv outstand contribu award scientist stephen hawk featur seri school rock vot best comedi film beat shaun dead shrek matt luca david walliam littl britain bbc three carolin quentin lif begin von trap itv ant dec ant dec saturday night takeaway m celebriti get itv catherin tat catherin tat show bbc two nighti night babi cow production bbc three littl britain bbc three doc martin buffalo production itv ant dec saturday night takeaway granada itv simpson twentieth centuri fox bbc twoski onechanne school rock
sport,fa decid punish mourinho footbal associat tak action chelsea boss jo mourinho follow send sunday carl cup fina mourinho sent touchlin appear taunt liverpoo fan remind responsib gam fa confirm action taken matter mourinho claim silenc gestur aim media although sid ground former porto coach forc watch climax sid victori liverpoo televi usher away touchlin fourth officia phil crossley gestur cam chelsea equali minut courtesi steven gerrard goal mourinho still fac fa investig allegat manchester unit player cheat januari carl cup semi fina stamford bridg uefa could also launch disciplinari action follow mourinho failur attend compulsori post match press conferenc chelsea champion leagu defeat barcelona last week addition tim month chelsea must also answer charg fail contro player premiership win blackburn februari charg fail contro supporter follow carl cup meet west ham early season still heard premier leagu also continu investig allegat chelsea officia tap arsena defender ashley col januari
tech,footbal manager scor big tim past decad virtua footbal fan among us becom us annuum help championship manager cm indee seem lik cm gam mani year pc however last year fina tim develop sport interact si publisher eido would work together decid go separat way kept piec franchis si kept gam cod databa eido retain right cm brand look feel gam begin year fan fac new situat eido announc next cm gam new team develop scratch whilst si develop exist cod relea new publisher sega nam footbal manager mean well footbal manager spiritua successor cm seri relea early expect point cm look lik ship earli next year give footbal manager larg gam everybodi know lov new version shap gam lik fm could blind statistic obscen number playab leagu obscen number manageab team realli obscen number player staff around world databa stat faithfulli research compi loya armi fan justic gam realli talk realistic satisfi footbal manag gam ever grac earth begin pick nation leagu want manag team instanc england scotland giv choic four main scottish leagu english premiership way conferenc north south cour might look european glori get hold abramovich million ca tak contro chelsea even barcelona real madrid ac milan list goe long way team told board expect sometim promotion plac europ sometim consolid brav relegat battl might even ca champion else obviousli expectat link team choo choo wiseli tim look squad work tactic se much cash got splash look transfer market sort train schedu mak sur backroom staff bring match availab ever improv top  view exception improv user interfac surfac much else seem chang however lot chang bonnet well thing lik manager mind gam let talk media opposi boss match engin also much improv joy ever watch fact everi area gam tweak lead ever immersiv experienc gam complex open end cour glitch nowher near sort problem blight previou relea mani calculat perform gam tak tim process match though improv area sport lik footbal high profi unpredict never model quit everybodi satisfac tim around great deal hard work put ensur odditi crop cosmetic affect gameplay problem lin sport interact indic usua will support develop gam far possib mani tweak improv fan previou cm gam fm might mak forget anyth else new genr lik idea try tak margat premiership spur europ even put ranger back top tree fm could best purcha ever mad warn famili might see much christma footbal manager pc mac
